Number_of_Gates,Maximum_Path_Delay,Slack,Operating_Frequency,Fanout,Timing_Violation
17659,12.863431027999232,-9.240556544290015,332.29687885607325,2,1
12706,1.8735169603758812,-0.731776124141221,517.5868756963428,5,1
8726,5.69390670109614,-0.5252568358969621,219.95583227395582,6,1
15041,1.9382315285169396,0.2470696340766254,934.9711597678665,6,0
3652,14.654803868706988,-14.180081504989989,880.9318881273151,5,1
2085,12.437634701805713,-10.694821193001683,736.8585271664817,7,1
4443,12.935663897443586,-7.822437007372518,195.5924448296106,8,1
19957,14.131513240074518,-13.651051826773605,798.2895290227237,7,1
1521,2.1914488056769947,-0.7360532057482357,827.161595298117,5,1
12153,6.398366295186667,-4.717323259458613,790.9881559429039,1,1
11305,1.9944884466160298,2.6415305126716797,202.56929840731704,5,0
13917,3.9511034217004006,-1.8965119831007038,679.5171613609882,2,1
8489,4.211120878527413,-3.8692657382096165,850.8923161744586,5,1
10192,7.567500954666102,-6.700981592060175,619.618061097701,5,1
13490,4.759870344350996,-3.224794094393253,681.7666377052801,2,1
7373,2.4136934954486553,-0.44988463534623097,512.5271314836755,5,1
6175,3.344875247317508,-1.9665582031971331,575.8365878956474,4,1
661,3.061857889729273,4.980073279699543,130.9391725165527,1,0
4797,14.623075170772175,-12.876292953432104,675.0667197759561,3,1
1495,11.63009509685863,-5.430768072559248,173.3024916020433,1,1
12034,14.548660513773868,-12.575695106644966,491.51313490620106,5,1
8129,7.156366811110719,-4.103209168266695,363.38958790066704,4,1
1516,4.897158743277192,-3.427607650075851,590.8851551905418,7,1
9029,12.176104760928613,-6.605283775681029,220.0747019708864,5,1
17762,5.567554852576055,-4.589704580431889,722.4790617759863,4,1
9768,5.191367231874876,-2.912492560300885,815.5103832356233,2,1
12685,4.255083890909637,-0.1893684050746327,247.01900476884083,4,1
6831,2.815505695139295,1.654521128914547,193.88177861669396,2,0
9071,4.590482854234724,0.42323713290547693,230.96393450862323,8,0
7708,5.974476478634427,-4.787191004330338,889.4148057086516,3,1
5776,10.435918914040226,-8.272345816729766,575.3703355807206,9,1
18946,1.875907791072322,0.6571209568357997,520.5348964067523,4,0
16948,3.9470971553148013,1.3228638379059274,196.04063719211885,6,0
16716,12.32633096408347,-11.161745270751325,684.6004060812656,5,1
8506,3.056906930172791,-1.4342336085512661,881.1996327055809,1,1
3068,5.797032051315302,-4.613736504541276,845.3672823911077,9,1
2527,13.10522490601396,-11.255021675482304,663.4492380827212,1,1
3195,3.1689543560081974,1.715402192255466,167.75084498650625,8,0
15922,2.1583156986546586,3.0364085101265355,201.15732445841167,9,0
5758,7.783531931120152,-1.1765660803994746,144.3780883988422,9,1
7236,5.2338731578995095,-1.3927303620073967,331.7312948432224,1,1
891,8.887717102773959,-4.073602199506219,222.09532044433996,2,1
14486,12.253268466768652,-9.139715141828825,334.0432362271905,1,1
13166,2.9200788341384043,-0.43754423592581504,446.55225014706554,2,1
6392,9.12978718375999,-8.574916398599969,948.6845056640221,8,1
4061,8.077122645458095,-5.725465376691287,649.3384538035228,5,1
6684,3.017103004184794,-0.8469871335460095,851.4764071146661,7,1
19983,9.735978797405753,-8.186921089734408,739.316350641099,2,1
8892,4.830965850050803,0.9331104700141151,201.25281747396858,8,0
13567,7.829680459616175,-6.802483877254391,762.3283657365539,6,1
15765,2.1518125398788666,0.3265917401570803,347.588993403212,8,0
19988,7.4341768009907225,-5.932665328751571,675.1970622952357,1,1
2954,5.290488552599484,-2.615205019142659,406.8657762786897,1,1
12337,12.51333695659496,-11.70823093607066,997.9050369381932,7,1
14539,1.797702177963156,1.4368132318082634,337.19633154710004,8,0
19615,6.860501848856619,-3.860067954721513,351.21742369684273,3,1
11465,7.418039937840132,-6.850646146239585,937.6050300061585,5,1
10262,11.150085068187662,-2.706040554600793,122.1799641726904,1,1
5556,9.040026051262954,-7.232784119949715,727.0200890858772,7,1
15448,10.340972720718534,-8.926852966016474,752.7937516622903,5,1
8610,11.878689999124585,-10.129676550899967,852.7407196693594,8,1
14273,13.070841631214643,-12.655997233982294,976.9953795746278,8,1
17912,5.394256954114587,-4.137830479316841,978.0417272409871,9,1
1002,8.532317875094641,-2.818209195797793,158.7490818098175,7,1
7410,12.761513098148798,-12.12758899416405,839.6553904776123,1,1
13185,14.85231583351079,-13.700814998536597,681.6789402916432,3,1
706,13.453270354612684,-12.45933063088828,682.6079209357821,8,1
18368,6.200541676741275,-1.8344899076193235,215.51493395322532,3,1
16434,3.7323312410611056,-2.379911289351698,685.168449801088,8,1
17747,7.851495523692242,-6.416900065048988,984.234322541123,1,1
19674,11.382980325704592,-10.457355062726293,920.6367125855022,5,1
9255,7.8959669905461665,-6.669465484640896,495.2175947243655,4,1
12883,7.764532086391359,0.16097546192783074,135.95317595748492,5,0
18641,12.735225895145208,-10.806706509045465,426.06414100018435,8,1
15320,6.059652906940609,-4.903829733893584,843.7512804404997,4,1
8074,13.037125447363039,-11.446521300354656,731.3491913186494,4,1
6874,6.695267213324129,-4.647698261996678,513.4092900345607,3,1
2178,5.595263479496752,1.6367033842212724,149.591381642948,7,0
1559,7.3558587567957865,-5.051117310915509,484.20525504097236,3,1
16698,11.674257421448159,-10.18965266222478,522.1224457460951,3,1
10414,2.7640283900959197,-0.6060286734144917,935.6999796047223,5,1
11317,3.7498690222082436,-2.1755483083029685,676.9774932239435,5,1
11421,14.320227559283287,-11.765691301812792,380.487624989184,6,1
10289,3.4568827833390032,-1.2290686800048052,572.7864380056492,8,1
16812,8.948182451034764,-2.551889726210303,159.44977703994405,6,1
11752,9.11040253326713,-7.885474893236581,975.3114120847631,1,1
3193,7.854742468703427,-4.250459748081161,424.05391173765344,8,1
14431,10.026433480075461,-8.277488701716322,530.0806194218222,8,1
4127,4.217574161166658,-1.9941158014060325,419.75557681323033,9,1
16657,8.737271748874475,-7.278933183056527,714.2605571045801,9,1
10673,6.21042557345656,-4.237904456599409,696.0089424966337,2,1
18547,10.263341634808647,-9.672143285826657,743.7900794762221,2,1
10730,2.9771296072240925,-1.0301820579480339,341.32890665072875,3,1
16207,8.992283835752668,-6.682363865238765,384.1016330476594,1,1
11994,3.593784975366532,0.2901339845797919,212.72610798658715,4,0
1806,4.901002883610509,-3.6640570203477294,689.9589746615013,4,1
7276,4.061937204530166,3.5521387062287375,135.8174146020873,9,0
9974,3.5597289181634393,-2.4374941735472246,637.9141019711132,9,1
8026,12.559953321849338,-12.140512628075596,882.7262963664705,9,1
6030,4.999905947252465,-3.856281244692192,901.7489334606702,7,1
4248,13.97973294610229,-11.564861543630693,504.1339843329655,2,1
14045,14.578971354832673,-13.478557857568667,513.3733193917665,5,1
1163,8.997646579119362,-2.6798880279858768,169.27226470721564,4,1
2498,3.0020157173201696,-1.1722793272361296,703.6885228987321,8,1
8494,6.243675407314138,-4.574927334030321,839.133478335561,2,1
18379,12.168251686874996,-8.435861549487639,320.1895491442417,6,1
3804,6.143470201758986,-2.9555246913631237,479.1707934700282,5,1
18737,2.2182410562390427,-1.2266354280913236,854.9554030887433,2,1
14308,8.79498875299463,-7.615860111566322,889.4084208960592,1,1
7085,12.831691920944486,-9.90375801896243,318.8619822378033,8,1
18175,12.142969420009033,-10.462758141006212,595.5135710872278,2,1
12149,3.4517239618249453,0.9744476114053509,273.2438355722444,7,0
2136,10.418704601774534,-5.874479781694922,191.69088772560087,9,1
17582,4.0870596880990595,-3.4306379872904578,920.0084512527618,9,1
5237,4.054905483730411,-2.1736476591031577,838.4567538088983,8,1
15055,13.237004826272592,-11.4515274710872,784.0314116228565,9,1
14377,4.495365338363222,2.2728372429214185,143.88968693182636,2,0
1354,4.685462851252156,-3.094599642331705,859.3559134392317,6,1
6355,1.0091474706581938,1.1847703225161326,494.23966831484535,4,0
7892,13.189366477757247,-9.989183227220177,408.1556109662737,4,1
14449,12.096327384927886,-10.36939454791873,591.8287249228388,5,1
18591,9.782605091269492,-3.7818545408447912,182.21791845120026,3,1
6291,11.503720695143791,-8.902275324914253,780.981894417159,1,1
5431,3.128679943942885,-1.2275581031194203,624.1915691994662,8,1
702,7.416530324226056,-3.6595632431836345,267.93108718585074,5,1
11947,5.917071422882932,-1.8440191680257767,269.40897979214105,3,1
13188,2.312871367598231,1.2663787906127513,265.8237864154068,7,0
4889,7.805826793008937,-0.0025514797306953607,151.3021487967406,7,1
2827,13.890355104796896,-12.210541488846367,629.0186044345163,1,1
8504,1.5608276667097227,-0.529497528464778,856.3133598296573,9,1
19815,5.080452788913115,3.1411315389523464,115.74839258864974,2,0
8277,3.9055731068798485,3.5824609300588643,144.10418047414618,5,0
697,4.334053151319749,-2.275746254964219,615.4932490182513,5,1
2430,13.718083726311253,-12.772796806777105,837.5461168474471,8,1
12274,7.552966759280062,-4.727088678705826,394.0650015117702,8,1
15587,7.528191781157464,-5.870814479870954,414.65295892694996,7,1
9839,11.648058994373953,-9.98500453408154,636.7118477470983,7,1
12089,3.1628908560689615,-0.05293649367127412,346.7916002117323,6,1
19395,7.821714957400711,1.0998800164709026,123.94752946991572,6,0
16208,7.019792997694836,-6.092359336109732,761.7056662914365,9,1
17543,9.356749667653187,-8.487823524354525,663.0849216473079,6,1
3311,14.99380784550614,-13.8355615269695,622.6803991500932,2,1
14743,11.772284517148659,-11.137663850790641,767.5157160926408,2,1
7046,6.57011984224398,-4.488778525559818,707.7077538058337,5,1
2486,12.585742731836657,-8.306264411780147,285.29378936048903,4,1
8838,3.3899170863747226,-0.8330661178561493,417.23294224901605,2,1
11911,1.4264916083254418,3.868015754996498,213.4991275107625,3,0
3411,3.862277214499823,0.8157313942369963,216.87131207609292,7,0
2234,5.7657617855996355,-4.40203673392841,708.5761717208853,8,1
18727,8.148130604433838,-7.168832916864311,872.7400962842484,6,1
9180,9.611807967576798,-8.732298769916495,966.4593254750251,5,1
19860,13.748480041001905,-13.01977922782142,665.5124057945,1,1
18843,8.137956133706407,-4.242060761919103,265.69119102486127,8,1
6259,8.017859024760211,-2.9120634183297356,195.08531090403764,3,1
2885,1.7034021375217498,-0.12817122500252082,831.565874383082,6,1
11611,1.4887617371871333,0.1686150497589201,620.8808287239993,3,0
5236,8.716239466829208,-7.274261178921775,656.4565189123479,7,1
2302,7.1345005854768235,-6.325256776708714,803.3158798792383,7,1
8655,12.74852552972418,-11.348098443465371,732.9495049592065,9,1
8620,3.2495141859658325,-1.7053245990857484,851.012427570487,5,1
7116,1.3496032696386944,4.719163517936128,150.59251491389062,8,0
14757,7.286542751021762,-5.948757390785036,772.7685730718543,8,1
14986,4.324699794531605,-3.0531337816775155,865.7674815898858,1,1
17146,1.6946012267437243,0.7434006664296559,357.5215382124829,5,0
14575,11.144376015866806,-9.959894595448011,676.4025465939276,3,1
9708,2.5623019994014644,0.16570315909196875,382.7458574532749,1,0
16871,9.516473000108803,-9.043870410226422,962.1739598342086,4,1
12335,4.934696502336449,2.927770415295238,130.0812151919534,8,0
13668,3.4289447049703083,-2.2684228025342175,621.8135594496596,3,1
2549,6.316521320870445,-1.7827441716971628,249.85319234456358,2,1
5923,12.220240867121351,-9.701796022958503,740.9981846594428,9,1
15089,6.489310076664018,-3.0482400027381074,258.3012550767959,5,1
19992,11.51077508895478,-8.036949208834818,311.8449357085218,7,1
7658,2.75680815518811,-1.2850935824443679,544.9337299411823,2,1
10748,11.818799875311107,-10.215311552995853,923.3514549971903,9,1
7900,4.317066548693081,-1.5078636528268294,290.5429349331738,9,1
10374,10.48350381844422,-5.891903666430438,229.81601900629317,4,1
15651,8.920941767773948,-8.08042612816762,783.0791486686276,4,1
19139,14.008026040963623,-12.295177887282616,550.5575791005379,6,1
1654,6.422515251654397,-5.851787579026297,920.6066011435943,6,1
4999,1.9263126436821663,2.796078927202553,231.95310144385806,1,0
6795,1.2681767977175407,-0.21896041682950712,681.3351037207354,9,1
12683,12.576019853618543,-9.069972082117191,309.59123153663353,2,1
13374,8.346298927260051,-4.370422737783531,241.08438578647537,5,1
18532,11.85341672568929,-10.512220642400983,715.0864736415434,9,1
6039,4.281958400161206,-2.631579536753125,634.3161579178599,4,1
10137,5.8311724371852725,-4.928955518491766,779.3447125260981,3,1
16086,1.4214542109584651,1.3256233681519947,378.5163188015641,7,0
3057,14.46089254403757,-11.708343114324535,503.1744907439709,6,1
6092,10.350150693811388,-8.588311262538166,464.9245086973766,8,1
16982,14.064871228630286,-12.46443864815567,985.6805175698628,3,1
2700,4.716949704007012,-1.2132625388708038,363.0240610654491,5,1
14672,9.560490557159252,-7.231358116483942,365.3355145120902,4,1
3461,10.49899955609693,-8.84042383539562,419.09338794574666,4,1
14707,5.445695803606238,-3.65034274308908,608.1346731612894,4,1
12469,12.873529290218821,-10.089974915964127,327.09046983737073,8,1
3369,14.26026048060347,-12.243427720554301,923.7609463413465,6,1
17840,13.387971647744061,-10.42173318241889,339.1170083796371,3,1
14492,11.346937663151216,-10.644569802272619,906.2341584041752,5,1
6199,4.884505516149357,-0.28016030810271797,193.1275572819262,6,1
4487,4.942624589478845,-2.950298119110786,690.906432159687,5,1
13946,14.487044486244532,-13.68127532065917,916.2869665944194,6,1
1718,1.1439829430996884,2.8481627488192327,251.87449455840658,8,0
5235,11.024699625390022,-9.517456097183082,971.4942640893295,7,1
11796,10.887446275773671,-9.159500979016773,507.59502437396054,5,1
5055,9.717653573297165,-8.689252029334018,951.1435975969221,6,1
9646,14.861523845216121,-13.459645367226333,709.1380392670422,4,1
8550,5.366312100692153,-2.3323393362660165,371.4281828861964,9,1
13257,5.759606093105474,-1.7532769834747681,269.4722724253958,4,1
17929,2.1051516412517777,0.46316054984709576,373.36154160258945,1,0
7393,7.199173911612324,-1.7241555092947183,183.71566833640748,7,1
18577,4.654679367287873,-0.4829128559215363,229.4811697089968,7,1
14873,5.807413830487019,-1.3967408574507196,194.19439631183303,4,1
15065,12.684005063578788,-10.4746851580527,480.64918936740196,3,1
3936,14.09678318938494,-11.925227957569433,816.0205386318278,8,1
9254,3.6002630080725986,0.35841043747807017,227.24519879470617,5,0
11177,6.215125041748522,-1.99946119447175,217.2883898551023,7,1
6395,14.000827869615517,-12.963624334450238,679.0860545655977,4,1
17109,1.8653184496491169,2.101039716785496,277.4646837712596,4,0
16136,2.2930473935592994,3.2546190271264406,187.84903429809245,8,0
7522,3.279073848887211,0.6390394931008679,250.16372038501987,8,0
9651,9.332979677776247,-8.718288521188505,931.3582562890984,2,1
6100,3.106611794083965,-1.8689885672645787,839.3241274985718,2,1
8496,14.55306934031027,-12.946796532358684,418.65810611958466,3,1
9507,7.254003381619285,-5.733515908006442,690.2386905946536,3,1
13446,8.02125144490233,-5.87183447481109,583.5481063012343,1,1
5142,4.45322062127569,-3.6692017597118936,709.4118371343076,3,1
11812,7.593443534086269,-6.959934547034905,714.4040372164834,6,1
8179,10.266790856918162,-7.975256096102257,665.8606135539936,8,1
8708,11.516479917356598,-8.876775560925958,339.4912316835777,6,1
19089,11.554153157938782,-3.58457132654324,135.10577868653633,5,1
11216,9.090475577717237,-7.206728941615392,510.01010379109795,4,1
17953,13.661036849914002,-12.633214989095078,901.8764962216335,3,1
3944,12.443709862285532,-10.591977142466773,612.5475326667183,4,1
11257,11.598673605780757,-10.863027484752344,849.1519375317172,7,1
14934,1.7784773035264487,-0.7046333860337868,992.4619086651053,1,1
1560,1.0962914710750904,2.7573782260378925,247.25458372444865,7,0
19211,3.9742618807366217,-3.2506168605747043,722.5998752277841,1,1
3920,10.289330314788332,-8.705890418863705,706.8642163300221,2,1
801,6.756764844355642,-5.87004722638179,981.9599026224506,4,1
12968,6.633687630190364,-5.699070555466275,987.0406605575203,1,1
17490,13.384216435214592,-12.596560100081936,718.0107505517166,9,1
1199,13.537879873845743,-9.60987076799974,319.2533127839748,6,1
690,13.7284536967502,-12.068648344897944,818.7002543175391,1,1
10992,5.394293071210383,0.18134800256743877,196.3262207899343,1,0
17864,10.674781378349664,-9.581598667160078,802.6293737544659,6,1
3475,4.802864537841175,-4.579525658832072,919.1765117302268,4,1
6602,3.6685376630422972,-0.4426134996943508,444.5500552915917,4,1
18068,3.584854402863169,-2.1174368681423323,667.5717654847724,6,1
2316,5.789506692090317,-4.111059991310934,487.12845888714367,7,1
1069,7.019406676917504,-4.786667469212967,493.98854948931563,9,1
5942,12.633288394770958,-9.413527378837236,379.33380019730805,5,1
2395,2.678475308617969,-1.4176010398320276,785.9166584052922,9,1
19617,11.288961863528518,-9.588732632540427,942.5589077498547,4,1
4363,8.440368798650276,-6.842540962774444,946.675773311015,2,1
13413,5.0312347974638945,-1.68295927065521,257.3031563874405,3,1
7955,7.899474183459544,-7.109315683039818,887.2692846909094,1,1
4514,5.199188976878317,-3.4109856382100907,763.6882972844099,6,1
11593,9.345147373336284,-7.648518761754637,327.5536606212603,6,1
18570,7.073814919973419,-0.9201921873239426,160.55615162936311,1,1
3509,3.301677407104302,-1.0862395222035581,341.1975401959402,3,1
17038,2.6321630437797543,-1.7846487753964038,920.9874131033731,5,1
11229,8.653739549009822,-7.31030214082428,669.860807406195,3,1
1909,13.633782466005448,-12.477700602491735,748.9491948080847,3,1
12749,5.815407611807598,-3.074374644135696,331.4371159981863,3,1
1284,11.262001501116725,-10.472690012024128,747.4493400173383,5,1
8596,10.221258969156738,-1.095053219450898,125.30935565013138,5,1
8060,14.041768800332735,-10.823833495298251,437.7892111957124,4,1
13033,12.493734242187973,-11.56891997865908,664.078013688098,1,1
7843,8.932473624676483,-3.8215165369323203,231.4869089871882,5,1
7706,10.198426975277503,-9.208679319135456,840.7032170022412,5,1
6301,13.577410532176488,-10.302834200895358,311.5281689307268,4,1
19690,6.593262984217088,-5.169408178577696,687.0530015366016,6,1
17421,5.575125882008884,-3.752969699195765,464.67742831779674,4,1
6486,1.1513551708927487,0.911812909871091,636.4392359298824,7,0
18725,12.5717150386805,-7.425029766226696,196.7054973660173,7,1
11147,12.213729805647109,-3.7730712295270745,115.22151992944659,2,1
9216,2.4623632534021196,-2.0260543307461583,918.607984642271,3,1
19834,9.076003335857804,-6.604515810971163,342.6670078904645,1,1
12823,7.4957437743364235,-7.12270231093699,837.7093025024132,8,1
5280,2.6619273371275605,-1.655230491236239,999.4152704249801,9,1
2868,14.727955178850129,-11.881434778877493,290.2881321990201,4,1
12539,4.005742424486976,-1.1856534303801953,338.65366706502004,6,1
7155,1.941278521267856,0.17937045310174216,696.5738088711992,9,0
8673,9.327863313026734,-7.6961192879163836,968.9037711405591,6,1
4995,11.344133479862457,-10.278293579754578,924.2329133716695,9,1
11393,1.4542082446606175,0.31191601152576026,552.5879680590265,4,0
13903,10.22204694217831,-8.056017325230345,815.5992542740522,8,1
13621,8.452086263320362,-3.690676139239667,222.17126778991096,9,1
11466,2.445710124250678,-1.588886855266852,979.694365783611,4,1
1353,3.4153342772490687,-3.0951978706668517,967.9179106323878,5,1
17458,8.951640162425127,-4.711948378694629,247.35606209125388,8,1
18032,5.149006589186037,-2.0278442118045494,369.48081232279594,6,1
10407,14.136420201118424,-9.192949437396232,190.13949775609024,7,1
5277,12.462363212776712,-9.414390403649842,344.5458390083617,3,1
15838,14.769940891191283,-13.753204421837802,834.3602104736859,7,1
2991,4.635391745305796,-2.457178164593863,440.4840464487335,8,1
15828,14.576130859171679,-10.250788147385155,179.55727043208253,6,1
15099,7.037274177081811,-4.697202342171334,408.0029723010141,9,1
3551,5.865263134392565,-4.363537970224909,983.2450008171521,6,1
16479,1.7048933775709454,-0.5207039277932195,666.7152357332826,9,1
16888,1.7387136100344367,0.39483194428439217,474.544851765542,4,0
1376,10.688157583253165,-7.064286679186353,249.884662147543,8,1
4642,7.411005922076391,-6.218187476127575,987.5591175553253,4,1
15702,4.17130276450548,-3.087334044807868,838.7641083368159,2,1
7466,9.595584288553257,-7.23498625281747,353.32957220582745,9,1
7579,4.540013655501556,2.2589052825460993,163.0618261490705,5,0
8487,9.086844560821916,-1.9982389361512816,150.96300163980223,4,1
7299,6.028922457757664,-1.531537142447784,208.34033455498044,2,1
4965,12.529731172565466,-10.674905929574116,622.6917252529795,1,1
17519,12.48974625073491,-11.152535274367972,935.8870790849431,7,1
13917,7.682905573713619,-5.533832254956194,547.069085205386,6,1
18577,5.911467530690218,-5.593977867318854,858.6509342105775,2,1
8811,6.075837151827324,-3.577712270145196,501.29795787382704,8,1
17714,12.28000335935505,-11.209334536792646,737.7251911910427,4,1
14598,5.594512759166568,-4.455357449443567,758.6854635578508,8,1
5677,3.9268312318958443,1.2897219368514308,256.5673353130048,7,0
14762,2.1856367862542956,0.3177182731503461,425.0944530782306,5,0
8808,7.533703692381717,-6.242242517409097,673.5719408842215,8,1
6449,7.749849384877786,-2.7410337828946325,163.62694736592957,9,1
19722,12.7727219456407,-9.727034721127582,425.38616898666095,5,1
1650,4.097341750244896,-3.049722223328125,581.3195196530733,5,1
2431,6.333877831357599,-5.832187741373849,996.6020437401748,2,1
9704,12.317680344511674,-10.586112036887311,527.0802063601966,5,1
18548,12.530730550485629,-10.624132055852119,834.4510814028912,3,1
1581,6.384555063702755,-3.952361978859156,488.86055655995597,7,1
17396,7.427736326013532,-6.282292694200804,816.751650357738,5,1
13907,5.246002471889961,-3.519216157400824,635.8733214580975,8,1
8305,14.055768297870369,-13.242295900552099,897.9358973521585,1,1
5737,2.661012720382124,-0.46283933025690016,469.8482971150989,3,1
17443,14.07249192202058,-12.482724597945762,643.873977839331,3,1
13275,10.574130325694805,-8.590532792542227,667.0168125569446,9,1
16744,8.442010137614236,-5.856011210115724,475.644647620426,5,1
13684,1.4572268509829422,3.1398416595757523,229.88083931873336,9,0
3843,7.658346685508116,-2.4107409710674728,184.203466221102,9,1
14000,6.708473470038252,2.357757497824523,115.00439553966979,1,0
10162,3.257063367651716,-2.1746097500102546,886.1808378206931,2,1
17464,10.189734449009197,-7.534040915356585,312.82742101482506,5,1
15625,14.596112703156,-11.353709484801007,290.3560743535912,4,1
8630,8.87064335490335,-7.516787244757988,762.431860383459,9,1
2179,11.006545870215241,-7.974214716324323,388.0145017786526,7,1
4006,1.958306335924235,-0.2496966674849269,555.4402231706529,6,1
13784,6.847337941437926,-3.3911878150712207,246.25995876771066,7,1
7753,2.629018792302942,-1.5630572314158957,963.7711493157723,1,1
19628,9.579141697511146,-8.36824337048754,866.4232600155136,1,1
9935,14.138750214998165,-12.906114224967801,877.4106606685029,8,1
11810,10.264888254602939,-7.6594734575378105,466.0963737148047,2,1
13796,2.0752426764019014,-0.2937188747162628,786.1250923364555,9,1
19025,5.965326869791159,-1.9049162372051724,229.48853985080214,7,1
13745,8.709287312171922,0.26277171912609204,107.75710233260224,6,0
11651,6.644908585865531,1.311318237196573,117.97563932022531,1,0
10957,12.671016146652413,-10.729103438662388,627.9415636641044,1,1
2979,12.405394065939849,-9.719643656990206,509.85541472314674,2,1
4952,9.5656342814451,-7.957057967362264,566.2138140176678,6,1
6381,6.228411231857874,3.0214669897633977,106.71682637549746,6,0
14569,4.574709232685418,-1.7597970951805983,480.4179576916831,2,1
3349,2.4822404549838106,-0.8894483994747144,746.2613450807747,1,1
7890,5.968567568811757,-3.744127118861828,498.4243317706923,5,1
12422,6.784415240908073,-6.062345725527803,758.997285681,5,1
2989,10.46152095145703,-6.893403633713311,309.7170679571513,2,1
10323,10.214237540166028,-9.476633824423617,831.8278040335529,6,1
9707,1.9815139549775973,-0.9601840301805302,629.5881164081071,9,1
10040,6.533630416036209,-3.2550120527246613,289.6867894869156,2,1
16864,3.544904141043067,-0.643406569754383,313.04842826844964,2,1
5111,3.1953778744352794,-1.8029324061577146,665.2274181125833,3,1
19723,12.582230096321442,-12.122007583254057,846.945633891199,7,1
6378,1.5868130340276054,1.0020104777095398,474.06500382623966,6,0
16847,6.868560262629699,-3.2969304328191678,332.47038621483296,8,1
1351,3.354851180731255,-3.1925595261939774,880.3104462195404,8,1
18571,13.310623019498637,-11.39758525262276,702.3414625757514,6,1
7333,8.79856718585049,-7.216853907725466,503.27693855476883,3,1
12438,4.239328909275873,-1.9559327287770933,539.1101757513717,3,1
2927,8.033982020329269,-4.544979719930766,283.8308211427568,1,1
4500,11.240809035843622,-9.720674648054297,664.1223670583595,7,1
5552,14.413652124872073,-12.141398253798988,422.8682594885998,5,1
3238,4.086244059435865,-2.4762446946494068,996.0806590069143,4,1
5887,13.406544809810832,-12.14722295478662,532.165163735699,4,1
8502,14.080257598344863,-11.915169554998224,537.2970455706518,4,1
6036,13.829887623448927,-11.63790495397341,609.2666086696047,6,1
13979,9.895800996066738,-8.456643836227457,925.080402806872,8,1
4413,9.817489162085907,-7.436721545110899,820.7362898737753,8,1
17950,6.644948864573519,-4.9332043009699325,506.0170628180573,5,1
11136,11.533570352253031,-9.715923946911817,746.8293393755164,6,1
6226,8.438116256913048,-6.8978203360232175,627.6119489026855,4,1
3873,10.484132997196122,-8.026251296553212,543.130343831124,9,1
12661,6.998410653883136,-3.3403808417076744,273.08419550591543,8,1
